#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
271,Jeremiah Estrada,SD,RP,R,64.8,0.0,0.0,268.5,64.8,3.5,2.8,0,25,3.39,3.20,1.16,85.6,26.7,48.3,2.3,25.1,27.0,7,35.1,45.5,19.4,0.274,669093
272,Keegan Akin,BAL,RP,L,64.8,0.0,0.0,274.9,64.8,3.4,3.0,0,17,4.02,3.79,1.24,66.8,24.0,56.3,2.1,28.6,30.8,9,37.6,42.4,20.0,0.275,669211
273,Dylan Lee,ATL,RP,L,64.8,0.0,0.0,269.2,64.8,3.5,2.9,0,17,3.80,3.49,1.15,71.3,19.5,55.1,1.8,27.4,29.5,8,36.2,43.8,20.0,0.275,669276
274,Cole Henry,WSH,RP,R,64.8,0.0,0.0,288.6,64.8,2.8,3.5,7,16,4.98,4.93,1.46,59.7,33.3,61.0,4.2,35.9,38.3,9,37.3,41.4,21.4,0.286,669371
275,Mason Englert,TB,RP,R,64.8,0.0,0.0,275.4,64.8,3.1,3.3,0,6,4.31,4.06,1.28,60.8,20.5,62.3,2.6,31.1,33.6,9,41.4,38.5,20.1,0.287,669438
276,Greg Weissert,BOS,RP,R,64.8,0.0,0.0,277.1,64.8,3.2,3.2,0,16,4.60,4.32,1.32,57.4,23.4,61.9,2.5,31.3,33.7,8,40.4,39.7,19.9,0.290,669711
277,Brenan Hanifee,DET,RP,R,64.8,0.0,0.0,276.0,64.8,3.2,3.2,0,12,4.08,3.85,1.30,48.8,18.1,66.1,2.5,29.7,32.6,7,51.1,28.9,20.0,0.299,669724
278,Matt Festa,CLE,RP,R,64.8,0.0,0.0,277.1,64.8,3.1,3.3,0,13,4.44,4.29,1.31,62.2,24.2,60.5,3.1,31.7,34.1,9,38.8,40.9,20.3,0.285,670036
279,Edwin Uceta,TB,RP,R,64.8,0.0,0.0,271.6,64.8,3.2,3.1,10,19,3.92,3.68,1.19,76.0,24.0,53.0,3.3,28.3,30.3,8,34.5,45.6,19.9,0.272,670955
280,Adrian Morejon,SD,RP,L,64.8,0.0,0.0,268.7,64.8,3.4,2.9,0,17,3.53,3.32,1.20,66.8,21.8,56.2,2.0,26.1,28.6,7,45.2,35.3,19.5,0.284,670970
281,Cade Smith,CLE,RP,R,64.8,0.0,0.0,263.8,64.8,3.6,2.8,30,0,3.20,2.98,1.09,82.5,20.4,50.3,2.9,22.9,24.9,6,39.6,40.9,19.5,0.284,671922
282,Jose Butto,SF,RP,R,64.8,0.0,0.0,279.4,64.8,3.1,3.2,1,16,4.20,3.95,1.31,60.0,25.2,59.7,2.8,30.8,33.3,7,41.8,38.3,19.9,0.287,676130
283,Ryan Walker,SF,RP,R,64.8,0.0,0.0,268.5,64.8,3.4,2.9,20,3,3.46,3.23,1.15,69.5,20.2,54.6,3.7,25.4,27.7,6,44.3,36.2,19.5,0.290,676254
284,Garrett Whitlock,BOS,RP,R,64.8,0.0,0.0,266.6,64.8,3.5,2.8,0,25,3.67,3.35,1.14,71.0,19.2,54.9,2.7,25.0,27.2,7,41.9,38.4,19.7,0.290,676477
285,Calvin Faucher,MIA,RP,R,64.8,0.0,0.0,279.5,64.8,3.1,3.3,5,16,4.25,3.93,1.33,63.6,26.7,59.6,2.8,30.4,33.0,7,44.0,36.2,19.8,0.295,676534
286,Riley O’Brien,STL,RP,R,64.8,0.0,0.0,276.7,64.8,3.3,3.1,15,16,3.72,3.62,1.29,65.5,27.6,56.2,3.7,27.2,29.8,6,49.9,30.4,19.7,0.295,676617
287,Will Vest,DET,RP,R,64.8,0.0,0.0,268.7,64.8,3.4,2.9,5,23,3.40,3.21,1.19,66.3,20.2,56.8,2.4,24.8,27.3,6,48.0,32.4,19.6,0.295,676684
288,Isaac Mattson,PIT,RP,R,64.8,0.0,0.0,281.5,64.8,3.0,3.3,0,17,4.66,4.39,1.34,58.9,28.4,58.4,2.6,33.4,35.7,9,35.2,44.4,20.4,0.276,676755
289,Aaron Ashby,MIL,RP,L,64.8,0.0,0.0,277.4,64.8,3.3,3.0,0,13,3.73,3.74,1.36,68.0,29.6,58.7,3.1,27.0,29.8,6,53.2,26.9,19.9,0.303,676879
290,Jaden Hill,COL,RP,R,64.8,0.0,0.0,276.6,64.8,3.2,3.1,0,7,4.67,4.49,1.37,58.6,25.0,63.9,3.9,29.7,32.3,8,46.0,32.9,21.2,0.316,677955
291,Seth Halvorsen,COL,RP,R,64.8,0.0,0.0,279.7,64.8,3.1,3.2,10,16,4.85,4.92,1.47,55.4,29.3,65.6,2.6,30.9,33.5,8,46.1,32.6,21.3,0.320,678020
292,Mike Vasil,CHW,RP,R,64.8,0.0,0.0,279.6,64.8,3.0,3.4,0,6,4.51,4.24,1.35,53.4,24.7,62.8,3.6,32.6,35.2,8,46.2,32.5,21.2,0.285,678024
293,Jose A. Ferrer,SEA,RP,L,64.8,0.0,0.0,271.2,64.8,3.4,2.9,3,19,3.40,3.39,1.24,63.8,19.7,60.5,3.1,25.5,28.2,6,52.6,27.8,19.7,0.300,678606
294,Victor Vodnik,COL,RP,R,64.8,0.0,0.0,277.4,64.8,3.3,3.1,15,10,4.44,4.31,1.40,61.0,30.2,60.3,2.2,28.3,30.9,7,46.9,33.6,19.5,0.309,680767
295,Ryan Fernandez,STL,RP,R,64.8,0.0,0.0,276.9,64.8,3.2,3.2,0,8,4.11,4.08,1.34,64.5,28.3,58.4,2.3,30.0,32.4,7,41.5,38.6,19.9,0.296,681676
296,Erik Sabrowski,CLE,RP,L,64.8,0.0,0.0,280.4,64.8,3.2,3.2,0,23,4.19,4.23,1.37,75.5,35.4,53.6,2.7,29.9,32.2,8,37.2,41.4,21.3,0.282,681870
297,Kody Funderburk,MIN,RP,L,64.8,0.0,0.0,276.1,64.8,3.3,3.0,5,16,3.81,3.91,1.36,62.2,26.5,61.8,3.5,27.6,30.3,6,50.1,29.9,20.1,0.312,681892
298,Alex Vesia,LAD,RP,L,64.8,0.0,0.0,271.9,64.8,3.6,2.7,0,25,3.73,3.44,1.15,79.8,26.7,47.6,2.7,26.8,28.7,9,29.8,50.2,20.0,0.249,681911
299,Mason Montgomery,PIT,RP,L,64.8,0.0,0.0,274.3,64.8,3.2,3.1,0,12,4.07,4.25,1.34,64.8,26.3,60.3,2.9,29.3,31.5,8,39.8,39.1,21.2,0.309,682254
300,Wikelman Gonzalez,CHW,RP,R,64.8,0.0,0.0,286.0,64.8,2.9,3.4,0,6,4.75,4.76,1.47,63.7,35.7,59.3,3.4,34.3,36.7,9,38.5,40.1,21.4,0.285,682790
301,Abner Uribe,MIL,RP,R,64.8,0.0,0.0,272.7,64.8,3.5,2.9,15,10,3.39,3.31,1.26,78.4,29.6,52.0,3.1,24.5,27.1,6,49.0,31.8,19.3,0.290,682842
302,Connor Phillips,CIN,RP,R,64.8,0.0,0.0,280.0,64.8,3.1,3.2,0,6,4.58,4.23,1.33,68.5,30.4,55.8,3.5,31.2,33.5,9,38.3,42.1,19.6,0.272,683175
303,Nick Mears,KC,RP,R,64.8,0.0,0.0,274.3,64.8,3.3,3.1,0,17,4.31,4.00,1.26,65.3,25.1,56.7,2.2,29.8,32.0,8,37.2,43.2,19.6,0.282,683232
304,Hunter Gaddis,CLE,RP,R,64.8,0.0,0.0,274.9,64.8,3.1,3.3,0,31,4.35,4.02,1.22,63.2,20.6,58.5,3.0,31.1,33.3,9,34.3,45.9,19.8,0.271,683769
305,Brandon Eisert,CHW,RP,L,64.8,0.0,0.0,275.4,64.8,3.1,3.2,0,13,4.12,4.18,1.34,61.2,24.5,62.3,2.7,29.8,32.2,8,43.5,35.4,21.2,0.300,685126
306,Justin Slaten,BOS,RP,R,64.8,0.0,0.0,271.9,64.8,3.3,3.0,0,13,4.21,3.86,1.23,62.0,21.6,58.0,2.3,28.7,31.0,8,40.7,39.7,19.5,0.283,686580
307,Drey Jameson,ARI,RP,R,64.8,0.0,0.0,273.5,64.8,3.3,3.0,0,6,3.98,3.76,1.27,63.9,23.9,58.6,2.5,28.7,31.2,7,43.4,37.0,19.6,0.296,686753
308,Louis Varland,TOR,RP,R,64.8,0.0,0.0,266.9,64.8,3.5,2.9,0,19,3.59,3.40,1.18,67.8,17.3,59.0,2.5,26.1,28.5,7,45.7,34.9,19.4,0.296,686973
309,Justin Sterner,ATH,RP,R,64.8,0.0,0.0,277.1,64.8,3.2,3.2,3,18,4.63,4.25,1.26,63.5,23.8,57.7,3.2,32.5,34.7,10,34.0,46.0,20.0,0.267,686993
310,David Morgan,SD,RP,R,64.8,0.0,0.0,279.3,64.8,3.1,3.2,0,6,4.25,4.14,1.36,63.2,27.5,60.7,3.2,31.4,34.0,8,43.3,35.4,21.2,0.293,688158
311,Orion Kerkering,PHI,RP,R,64.8,0.0,0.0,271.5,64.8,3.4,2.9,0,18,3.75,3.64,1.23,69.7,24.6,55.2,3.3,26.4,28.8,7,44.1,36.5,19.4,0.289,689147
312,Clayton Beeter,WSH,RP,R,64.8,0.0,0.0,276.7,64.8,3.2,3.2,10,16,3.98,3.83,1.30,72.2,32.5,51.8,2.5,28.7,31.0,7,40.1,40.1,19.8,0.276,690925
313,Daniel Palencia,CHC,RP,R,64.8,0.0,0.0,272.7,64.8,3.4,3.0,25,3,3.81,3.67,1.24,72.7,26.6,53.9,2.9,27.9,30.1,7,39.1,41.6,19.3,0.282,694037
314,Mason Miller,SD,RP,R,64.8,0.0,0.0,258.2,64.8,3.9,2.4,30,0,2.56,2.14,0.97,102.9,25.1,37.6,2.4,18.8,20.6,6,35.6,45.4,18.9,0.254,695243
315,Gordon Graceffo,STL,RP,R,64.8,0.0,0.0,277.1,64.8,3.1,3.3,0,6,4.30,4.28,1.34,51.3,19.2,67.4,2.3,31.4,34.0,8,44.8,34.1,21.1,0.306,700669
316,Spencer Bivens,SF,RP,R,64.8,0.0,0.0,280.5,64.8,3.1,3.3,0,13,4.36,4.30,1.37,49.0,20.7,68.2,3.1,32.0,34.8,7,47.6,31.2,21.1,0.306,702352
317,Cade Gibson,MIA,RP,L,64.8,0.0,0.0,281.9,64.8,3.0,3.3,0,8,4.36,4.36,1.41,50.3,25.4,66.1,3.9,31.2,34.1,7,49.8,29.0,21.3,0.304,806188
318,Travis Adams,MIN,RP,R,58.3,1.6,0.6,279.1,64.7,3.1,3.4,0,7,4.60,4.52,1.38,51.4,21.3,68.0,2.6,33.2,35.8,9,43.5,35.4,21.1,0.304,701519
319,Connelly Early,BOS,SP,L,25.9,9.7,4.8,270.4,64.7,3.6,3.2,0,2,3.91,4.06,1.30,64.2,23.9,60.1,3.4,26.5,29.1,7,47.7,31.5,20.8,0.309,813349
320,Sean Newcomb,CHW,RP,L,51.8,3.2,1.4,276.1,64.6,3.2,3.4,0,5,4.11,4.09,1.35,61.9,26.8,60.5,2.8,29.6,32.1,8,44.3,35.6,20.1,0.298,16943
321,Bailey Falter,KC,SP,L,37.3,4.9,2.0,272.3,63.9,3.2,3.5,0,3,4.92,4.61,1.31,50.1,20.0,63.9,1.7,33.4,35.7,10,36.2,43.6,20.2,0.283,663559
322,Javier Assad,CHC,SP,R,37.3,4.9,2.1,273.4,63.9,3.4,3.3,0,3,4.42,4.25,1.34,54.7,22.7,63.2,2.6,31.9,34.5,8,43.1,36.8,20.2,0.292,665871
323,Janson Junk,MIA,SP,R,37.3,4.9,2.0,266.6,63.4,3.1,3.5,0,3,4.48,4.27,1.26,46.9,12.7,67.4,2.3,31.3,33.8,9,41.7,38.3,20.0,0.300,676083
324,Trevor McDonald,SF,SP,R,24.3,8.1,3.6,264.4,61.6,3.2,3.4,0,2,4.24,4.19,1.36,47.7,20.0,63.6,3.7,29.6,32.4,6,51.1,27.8,21.0,0.308,686790
325,Hayden Birdsong,SF,SP,R,24.3,8.1,3.3,269.2,61.6,3.2,3.6,0,4,4.57,4.47,1.38,61.7,29.2,55.9,3.3,31.9,34.1,8,38.1,40.9,21.0,0.290,806185
326,Yoendrys Gomez,TB,SP,R,37.3,4.9,2.0,259.4,60.1,2.9,3.4,0,3,4.61,4.29,1.32,60.2,24.4,55.0,3.0,30.8,33.0,9,37.2,42.8,20.0,0.277,672782
327,Jakob Junis,TEX,RP,R,59.9,0.0,0.0,252.5,59.9,3.0,2.9,0,7,4.31,3.86,1.22,54.0,16.0,57.1,2.6,28.5,30.6,8,40.2,39.9,19.9,0.282,596001
328,Pete Fairbanks,MIA,RP,R,59.9,0.0,0.0,249.3,59.9,3.0,2.8,20,6,3.79,3.43,1.18,62.8,21.2,49.7,2.2,25.1,27.3,6,41.5,39.1,19.4,0.277,664126
329,Spencer Arrighetti,HOU,SP,R,18.4,8.2,3.9,255.2,59.2,3.5,3.1,0,1,4.74,4.48,1.35,59.6,25.2,54.9,3.0,30.9,33.0,9,37.4,42.7,19.9,0.285,681293
330,Aroldis Chapman,BOS,RP,L,64.8,0.0,0.0,238.8,58.3,3.4,2.3,25,3,3.17,2.89,1.12,80.7,26.6,38.6,1.9,19.4,21.2,5,39.1,41.5,19.4,0.271,10233
331,Tommy Kahnle,FA,RP,R,64.8,0.0,0.0,254.2,58.3,2.8,2.9,0,16,4.43,4.15,1.39,53.5,27.0,53.9,2.4,28.7,31.1,7,46.1,33.7,20.2,0.285,11384
332,Drew Pomeranz,LAA,RP,L,64.8,0.0,0.0,245.3,58.3,2.9,2.8,0,17,4.02,3.77,1.22,63.1,20.9,50.4,2.8,25.3,27.3,8,38.4,41.5,20.1,0.279,11426
333,Tyler Anderson,FA,SP,L,24.3,8.1,3.3,250.5,58.3,5.5,6.2,0,0,4.95,4.88,1.40,45.2,21.7,60.3,2.3,32.1,34.2,9,34.2,45.3,20.6,0.277,12880
334,Taylor Rogers,MIN,RP,L,64.8,0.0,0.0,249.4,58.3,2.9,2.8,12,16,4.07,3.95,1.32,60.7,25.2,51.9,3.0,26.5,28.6,7,41.3,38.6,20.1,0.292,13449
335,Steven Okert,HOU,RP,L,64.8,0.0,0.0,246.9,58.3,3.0,2.7,0,10,4.19,3.92,1.21,65.9,22.5,47.8,2.8,26.8,28.6,9,30.1,49.9,20.0,0.261,13580
336,Matt Strahm,KC,RP,L,64.8,0.0,0.0,241.2,58.3,3.1,2.6,0,16,3.91,3.59,1.11,63.9,18.2,46.7,2.6,24.3,25.9,8,30.1,50.1,19.9,0.265,13799
337,Wandy Peralta,SD,RP,L,64.8,0.0,0.0,251.6,58.3,2.9,2.8,0,6,3.86,3.81,1.36,52.9,24.4,54.8,2.7,25.6,28.2,6,51.0,29.2,19.9,0.293,14295
338,Jeff Hoffman,TOR,RP,R,64.8,0.0,0.0,242.5,58.3,3.1,2.6,25,0,3.60,3.19,1.12,72.2,21.1,44.5,2.8,23.6,25.4,7,36.0,44.5,19.5,0.265,17432
339,Fernando Cruz,NYY,RP,R,64.8,0.0,0.0,243.7,58.3,3.2,2.5,0,21,3.54,3.28,1.19,77.3,25.6,43.7,2.2,22.7,24.6,7,37.2,43.0,19.8,0.277,518585
340,Brooks Raley,NYM,RP,L,64.8,0.0,0.0,249.2,58.3,3.0,2.8,0,21,4.03,3.81,1.27,56.8,21.8,52.0,3.4,26.9,29.1,7,40.4,39.0,20.6,0.278,548384
341,Caleb Thielbar,CHC,RP,L,64.8,0.0,0.0,244.7,58.3,3.0,2.7,0,24,3.87,3.73,1.21,61.6,20.9,49.6,1.6,25.5,27.4,7,36.4,43.6,20.0,0.274,573204
342,Scott Barlow,ATH,RP,R,64.8,0.0,0.0,253.7,58.3,2.9,2.8,0,14,4.48,4.21,1.39,60.7,29.6,51.2,3.0,28.3,30.6,7,42.5,37.2,20.4,0.284,605130
343,Joel Payamps,ATL,RP,R,64.8,0.0,0.0,248.6,58.3,2.9,2.8,0,13,4.37,4.07,1.29,53.5,19.0,56.0,2.5,28.4,30.5,8,40.3,39.9,19.9,0.288,606303
344,Jose Alvarado,PHI,RP,L,64.8,0.0,0.0,243.2,58.3,3.2,2.5,2,16,3.49,3.39,1.23,66.9,23.8,47.9,2.1,22.2,24.4,6,46.7,33.9,19.5,0.290,621237
345,Seranthony Dominguez,CHW,RP,R,64.8,0.0,0.0,247.1,58.3,2.9,2.8,12,19,3.98,3.68,1.26,65.6,26.8,46.8,2.5,25.9,27.9,7,39.3,41.2,19.5,0.273,622554
346,Tyler Kinley,ATL,RP,R,64.8,0.0,0.0,249.9,58.3,3.0,2.8,0,13,4.33,3.87,1.27,63.4,24.9,49.2,2.3,28.1,30.0,8,34.2,46.2,19.7,0.271,641755
347,Gabe Speier,SEA,RP,L,64.8,0.0,0.0,242.2,58.3,3.1,2.6,0,21,3.51,3.21,1.14,68.2,18.0,48.3,2.6,23.6,25.6,7,41.1,39.0,19.9,0.277,642100
348,Gregory Soto,PIT,RP,L,64.8,0.0,0.0,245.6,58.3,3.0,2.7,0,21,3.71,3.65,1.28,62.2,23.8,50.8,3.8,24.0,26.1,5,44.3,36.2,19.5,0.308,642397
349,Tyler Rogers,TOR,RP,R,64.8,0.0,0.0,249.7,58.3,2.9,2.8,0,26,4.20,3.88,1.29,41.1,13.5,61.7,2.6,27.4,30.0,6,51.5,27.5,21.0,0.295,643511
350,Caleb Ferguson,CIN,RP,L,64.8,0.0,0.0,247.3,58.3,2.9,2.8,0,13,4.14,4.08,1.34,56.3,23.6,54.3,3.2,25.4,27.7,7,46.8,33.4,19.8,0.300,657571
351,Jhoan Duran,PHI,RP,R,64.8,0.0,0.0,237.4,58.3,3.4,2.3,30,0,2.99,2.82,1.12,69.0,19.2,46.3,2.7,18.9,21.2,4,54.1,27.0,18.9,0.296,661395
352,Garrett Cleavinger,TB,RP,L,64.8,0.0,0.0,242.9,58.3,3.1,2.7,0,20,3.49,3.18,1.15,74.9,22.8,44.1,3.3,22.6,24.6,6,40.0,40.5,19.5,0.272,664076
353,Phil Maton,CHC,RP,R,64.8,0.0,0.0,248.4,58.3,3.0,2.8,3,23,4.01,3.95,1.28,60.6,22.8,51.7,4.1,26.4,28.6,7,42.2,37.1,20.7,0.290,664208
354,Joel Peguero,SF,RP,R,64.8,0.0,0.0,256.0,58.3,2.7,3.0,3,16,4.64,4.44,1.42,46.1,23.4,59.3,2.6,30.7,33.1,7,45.3,33.4,21.3,0.299,666711
355,JoJo Romero,STL,RP,L,64.8,0.0,0.0,248.7,58.3,2.9,2.8,7,23,3.76,3.75,1.30,55.2,23.3,52.5,2.4,24.7,27.1,6,47.6,32.4,19.9,0.292,668941
356,Erik Miller,SF,RP,L,64.8,0.0,0.0,250.1,58.3,3.0,2.7,3,19,3.63,3.65,1.32,66.2,29.8,47.1,2.3,23.9,26.2,5,43.4,37.0,19.6,0.289,669062
357,Anthony Bender,MIA,RP,R,64.8,0.0,0.0,249.4,58.3,2.8,2.9,0,24,4.20,3.78,1.29,55.5,22.9,52.4,2.6,27.1,29.4,6,44.6,35.7,19.8,0.285,669622
358,Kade Strowd,ARI,RP,R,64.8,0.0,0.0,251.7,58.3,2.9,2.8,0,13,4.27,4.26,1.42,52.1,26.0,56.6,2.4,27.8,30.2,6,47.8,30.9,21.3,0.309,669704
359,John Schreiber,KC,RP,R,64.8,0.0,0.0,248.7,58.3,2.9,2.8,0,20,4.30,4.19,1.31,53.7,21.8,54.5,2.6,26.7,28.9,7,41.7,38.1,20.2,0.292,670167
360,Angel Zerpa,MIL,RP,L,64.8,0.0,0.0,244.9,58.3,3.0,2.7,0,14,3.67,3.64,1.29,57.5,20.3,54.6,2.4,23.9,26.3,6,50.5,29.8,19.7,0.301,672582
361,Jordan Leasure,CHW,RP,R,64.8,0.0,0.0,248.7,58.3,2.8,2.9,5,13,4.11,3.89,1.27,64.4,26.6,47.5,2.2,26.7,28.7,8,35.8,44.6,19.7,0.267,673929
362,Juan Mejia,COL,RP,R,64.8,0.0,0.0,250.9,58.3,2.9,2.8,0,14,4.70,4.68,1.41,54.8,26.4,55.7,3.5,27.0,29.2,7,43.2,35.5,21.2,0.313,675848
363,Robert Garcia,TEX,RP,L,64.8,0.0,0.0,245.0,58.3,3.1,2.6,15,13,3.71,3.62,1.24,64.0,21.1,51.1,2.1,23.9,26.0,7,42.0,38.2,19.8,0.290,676395
364,PJ Poulin,WSH,RP,L,64.8,0.0,0.0,250.4,58.3,2.8,2.9,3,13,4.12,4.27,1.37,53.9,24.5,55.6,2.7,26.7,29.0,7,45.1,33.7,21.2,0.302,676571
365,Eric Orze,MIN,RP,R,64.8,0.0,0.0,250.9,58.3,2.8,2.9,0,6,4.28,4.31,1.39,56.3,26.0,55.1,2.5,27.8,30.1,7,43.3,35.4,21.2,0.302,679358
366,Bryan King,HOU,RP,L,64.8,0.0,0.0,244.5,58.3,3.0,2.7,0,26,3.92,3.84,1.25,58.8,18.7,54.0,2.8,25.1,27.2,7,43.4,35.6,21.0,0.293,687911
367,Matt Svanson,STL,RP,R,64.8,0.0,0.0,250.2,58.3,2.8,2.9,0,8,4.06,3.88,1.31,52.5,22.2,54.1,3.1,26.6,29.0,6,48.3,30.6,21.2,0.292,694335
368,Mason Black,KC,RP,R,35.6,3.2,1.2,250.8,58.1,2.9,3.1,0,3,4.97,4.85,1.39,47.8,22.2,58.8,2.9,30.7,32.9,8,39.7,40.1,20.2,0.297,696131
369,Jordan Wicks,CHC,RP,L,35.6,3.2,1.4,239.7,57.1,3.0,2.7,0,4,3.84,3.88,1.27,53.1,17.1,55.6,1.8,24.7,27.0,7,44.9,35.2,19.9,0.302,696136
370,Luke Jackson,FA,RP,R,56.7,0.0,0.0,246.2,56.7,2.7,2.8,0,14,4.50,4.23,1.41,52.0,26.1,53.6,2.4,28.4,30.7,7,45.6,34.4,20.1,0.294,11752
371,Paul Sewald,ARI,RP,R,56.7,0.0,0.0,242.4,56.7,2.8,2.8,2,14,4.61,4.29,1.24,55.8,19.6,50.6,2.8,29.2,30.9,9,29.0,50.8,20.3,0.273,13892
372,Rob Zastryzny,MIL,RP,L,56.7,0.0,0.0,242.7,56.7,2.8,2.8,0,6,4.24,4.10,1.31,52.3,21.3,52.8,2.2,26.8,28.9,7,40.6,39.3,20.1,0.279,15094
373,Chad Green,FA,RP,R,56.7,0.0,0.0,243.0,56.7,2.6,2.9,0,6,4.79,4.40,1.28,50.4,19.4,53.0,2.2,30.2,32.1,9,33.1,47.1,19.9,0.269,15552
374,Kenley Jansen,DET,RP,R,56.7,0.0,0.0,239.1,56.7,2.7,2.8,20,0,4.26,3.65,1.15,59.2,20.6,44.6,2.0,27.2,28.9,8,28.8,51.4,19.8,0.247,3096
375,Chris Martin,TEX,RP,R,56.7,0.0,0.0,233.1,56.7,3.0,2.5,0,15,3.61,3.33,1.15,57.9,12.9,52.1,2.0,22.6,24.7,6,44.7,35.8,19.5,0.294,455119
376,Ryan Brasier,TEX,RP,R,56.7,0.0,0.0,239.7,56.7,2.8,2.8,0,9,4.28,3.86,1.26,52.5,17.5,53.7,1.9,26.8,28.9,8,41.2,39.2,19.7,0.285,5615
377,Anthony Banda,MIN,RP,L,56.7,0.0,0.0,242.9,56.7,2.8,2.8,0,11,4.17,3.92,1.31,55.9,24.8,49.5,2.5,26.4,28.5,7,40.6,39.6,19.8,0.279,607455
378,Steven Wilson,TB,RP,R,56.7,0.0,0.0,248.6,56.7,2.5,3.0,0,10,4.99,4.63,1.34,55.5,25.2,51.0,2.7,31.5,33.3,10,28.5,51.4,20.1,0.261,621051
379,Tyler Ferguson,ATH,RP,R,56.7,0.0,0.0,245.7,56.7,2.8,2.8,0,12,4.52,4.30,1.36,56.0,26.7,50.4,2.8,27.8,29.9,7,39.6,40.5,19.9,0.278,621053
380,Huascar Brazoban,NYM,RP,R,56.7,0.0,0.0,243.2,56.7,2.8,2.7,0,14,4.13,3.96,1.33,54.2,24.7,50.9,2.7,26.8,29.1,6,44.4,35.7,19.9,0.284,623211
381,Hunter Harvey,CHC,RP,R,56.7,0.0,0.0,233.3,56.7,3.0,2.5,5,14,3.52,3.17,1.13,63.8,17.4,46.5,2.3,22.6,24.5,6,41.2,39.6,19.2,0.280,640451
382,Connor Brogdon,CLE,RP,R,56.7,0.0,0.0,243.2,56.7,2.7,2.9,0,6,4.54,4.29,1.30,55.6,21.6,51.9,2.2,28.4,30.4,8,35.6,44.5,19.9,0.276,641401
383,Ian Hamilton,ATL,RP,R,56.7,0.0,0.0,243.8,56.7,2.9,2.6,0,11,4.08,3.88,1.34,59.4,25.2,50.7,2.3,25.7,27.9,6,44.2,36.1,19.7,0.294,641656
384,Cole Sulser,TB,RP,R,56.7,0.0,0.0,243.3,56.7,2.7,2.9,0,6,4.38,4.19,1.33,52.0,21.2,54.2,2.0,27.6,29.8,8,41.6,38.2,20.2,0.285,642121
385,Jalen Beeks,FA,RP,L,56.7,0.0,0.0,242.4,56.7,2.8,2.7,0,14,4.10,3.89,1.29,52.6,21.5,51.7,2.1,25.8,28.0,7,42.9,37.2,19.9,0.283,656222
386,Sam Hentges,SF,RP,L,56.7,0.0,0.0,237.1,56.7,3.0,2.6,0,6,3.51,3.28,1.21,58.3,19.3,49.3,2.1,22.5,24.8,5,47.9,32.5,19.7,0.293,656529
387,Bennett Sousa,HOU,RP,L,56.7,0.0,0.0,235.9,56.7,3.0,2.6,0,9,3.79,3.57,1.21,62.9,20.7,48.2,2.0,23.7,25.6,7,40.7,39.3,20.0,0.282,656986
388,Matt Gage,SF,RP,L,56.7,0.0,0.0,244.0,56.7,2.8,2.8,0,6,4.02,4.03,1.34,49.6,20.5,55.5,2.1,25.8,28.1,6,45.3,34.7,20.1,0.302,657424
389,Brusdar Graterol,LAD,RP,R,56.7,0.0,0.0,237.9,56.7,3.1,2.4,0,6,3.75,3.51,1.25,51.2,18.0,53.1,2.2,23.6,26.0,6,51.6,29.1,19.3,0.292,660813
390,Jovani Moran,BOS,RP,L,56.7,0.0,0.0,240.0,56.7,3.0,2.6,0,6,3.97,3.94,1.32,59.5,24.8,49.8,1.9,23.6,25.7,6,43.6,36.4,20.1,0.298,663558
391,Nate Pearson,HOU,RP,R,56.7,0.0,0.0,243.6,56.7,2.8,2.8,0,6,4.55,4.39,1.35,57.6,24.2,52.2,2.5,28.3,30.4,8,37.0,43.5,19.6,0.286,663878
392,Richard Lovelady,WSH,RP,L,56.7,0.0,0.0,242.1,56.7,2.7,2.9,0,11,4.15,4.13,1.33,48.9,20.9,54.8,3.1,26.2,28.5,6,47.0,32.7,20.4,0.297,663992
393,JT Brubaker,SF,RP,R,56.7,0.0,0.0,244.7,56.7,2.7,2.9,0,6,4.30,4.05,1.29,50.1,18.8,54.5,2.5,27.6,29.8,7,42.4,37.6,20.0,0.289,664141
394,Taylor Clarke,ARI,RP,R,56.7,0.0,0.0,240.0,56.7,2.8,2.7,0,6,4.28,3.92,1.21,48.1,15.2,53.4,2.1,27.1,29.2,7,39.1,41.2,19.6,0.277,664199
395,Casey Legumina,SEA,RP,R,56.7,0.0,0.0,244.7,56.7,2.7,2.9,0,6,4.38,4.25,1.35,54.2,22.3,54.0,2.5,28.7,30.9,8,40.8,39.1,20.1,0.286,668984
396,DL Hall,MIL,RP,L,56.7,0.0,0.0,243.2,56.7,2.8,2.8,0,6,4.12,3.99,1.32,56.7,23.9,50.9,2.5,26.1,28.3,7,42.0,37.9,20.1,0.282,669084
397,Brady Basso,ATH,RP,L,56.7,0.0,0.0,238.1,56.7,2.9,2.6,0,11,4.04,3.93,1.26,52.6,18.0,53.3,2.0,24.8,27.0,7,42.7,37.3,20.0,0.289,669620
398,Rico Garcia,BAL,RP,R,56.7,0.0,0.0,243.0,56.7,2.8,2.7,0,20,4.44,4.22,1.31,56.4,23.1,51.0,2.0,27.6,29.6,8,36.4,43.7,19.9,0.279,670329
