#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
185,Ryan Yarbrough,NYY,SP,L,45.4,4.9,2.0,313.5,73.1,3.8,3.8,0,4,4.66,4.44,1.29,58.1,21.8,72.6,4.4,37.5,40.3,11,40.1,38.9,20.9,0.277,642232
186,Troy Melton,DET,SP,R,45.4,4.9,2.1,307.5,73.1,3.8,3.8,0,13,4.08,3.84,1.21,67.6,21.4,67.0,2.3,33.6,36.2,9,41.1,37.9,21.0,0.280,675512
187,Payton Tolle,BOS,SP,L,45.4,4.9,2.3,303.3,73.1,3.9,3.5,0,4,4.02,3.99,1.23,77.3,25.2,64.6,2.7,30.9,33.3,9,38.8,40.3,20.9,0.294,801139
188,Jon Gray,FA,SP,R,25.9,9.7,4.2,305.1,72.8,6.6,6.2,0,0,4.46,4.30,1.31,64.5,22.3,73.1,2.7,36.0,38.7,10,39.4,41.0,19.7,0.285,14916
189,Jimmy Herget,COL,RP,R,66.4,1.6,0.7,306.3,72.8,3.5,3.8,0,13,4.93,4.80,1.33,60.4,23.2,73.8,3.5,35.3,37.9,11,36.4,43.3,20.3,0.297,623474
190,Keider Montero,DET,SP,R,27.7,7.9,3.5,311.1,72.4,3.8,4.1,0,2,4.61,4.36,1.32,61.3,24.4,71.2,3.0,37.5,40.3,10,40.7,39.7,19.7,0.287,672456
191,Ryan Bergert,KC,SP,R,32.4,8.1,3.2,309.4,72.1,3.7,4.1,0,2,4.94,4.76,1.38,61.1,27.9,71.3,2.8,38.0,40.6,11,38.7,40.3,21.0,0.293,686701
192,Robby Snelling,MIA,SP,L,14.0,14.0,6.6,305.4,71.4,3.8,4.2,0,0,4.31,4.36,1.37,58.6,25.3,72.5,2.4,34.0,37.0,8,46.9,32.1,20.9,0.306,702281
193,Emerson Hancock,SEA,SP,R,32.4,8.1,3.3,307.2,70.5,3.8,3.8,0,2,4.67,4.41,1.35,57.0,22.1,72.8,3.6,38.1,41.0,10,42.9,37.1,20.0,0.286,676106
194,Jordan Montgomery,TEX,SP,L,23.8,10.6,4.6,299.8,70.2,3.8,3.9,0,1,4.50,4.37,1.35,55.6,20.7,73.7,2.3,34.9,37.7,10,43.3,36.5,20.2,0.300,656756
195,Spencer Turnbull,FA,SP,R,25.9,9.7,3.9,297.2,69.6,5.8,6.7,0,0,4.86,4.81,1.46,53.2,27.0,74.6,3.6,37.6,40.6,9,44.6,35.3,20.2,0.296,605513
196,Ben Brown,CHC,RP,R,42.1,1.6,0.8,283.5,69.0,3.8,3.1,0,4,3.52,3.37,1.16,79.8,21.1,59.2,2.4,27.5,29.8,8,39.9,40.8,19.3,0.295,676962
197,Drew Anderson,DET,RP,R,43.7,3.2,1.4,287.5,68.7,3.6,3.4,0,4,3.83,3.34,1.19,76.0,24.9,57.1,3.1,29.5,31.9,7,41.7,38.2,20.0,0.282,623454
198,Luis Medina,ATH,RP,R,43.7,3.2,1.3,294.5,68.7,3.5,3.5,0,4,4.46,4.22,1.33,66.6,28.1,63.3,3.4,33.2,35.8,9,40.9,39.4,19.7,0.287,665622
