#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
387,Mitch Garver,SEA,R,C,C,51,158,138,17.2,5.4,16.8,0.8,27.9,16.8,5.0,0.7,50.3,45.5,17.4,1.8,1.1,0.4,0.3,0.202,0.297,0.366,0.663,0.256,15161
388,Eli White,ATL,R,OF,OF,51,152,138,16.2,3.8,15.5,4.5,31.6,22.2,4.7,1.0,49.6,41.1,10.2,1.8,1.1,0.5,1.1,0.229,0.288,0.359,0.647,0.296,642201
389,Thairo Estrada,BAL,R,2B,2B,49,152,142,16.7,3.7,16.2,2.4,34.2,24.6,5.6,0.4,51.6,30.8,6.6,2.0,1.1,0.4,0.8,0.242,0.282,0.364,0.646,0.283,642731
390,Nick Loftin,KC,R,2B/3B/ OF,2B/3B/ OF,51,151,132,16.9,3.1,15.1,2.4,32.4,22.3,6.5,0.5,49.0,24.0,15.3,1.6,1.1,0.5,0.7,0.244,0.326,0.370,0.697,0.275,679845
391,Otto Kemp,PHI,R,3B,1B/3B/ OF,51,151,135,16.8,4.2,16.0,2.5,30.4,18.8,7.1,0.4,50.9,43.6,11.1,3.8,1.1,0.5,0.8,0.226,0.300,0.378,0.678,0.298,805249
392,Bryce Johnson,SD,S,OF,OF,51,150,134,15.1,1.9,12.7,4.4,30.3,21.5,6.3,0.5,43.5,40.9,12.3,2.1,1.1,0.5,1.1,0.226,0.298,0.324,0.623,0.307,669369
393,John Rave,KC,L,OF,OF,51,150,133,16.3,3.6,15.0,4.0,29.8,19.8,5.7,0.7,47.8,38.6,13.8,0.9,1.1,0.5,1.2,0.224,0.298,0.358,0.656,0.284,670231
394,Leo Rivas,SEA,S,2B/SS,2B/SS,51,149,124,15.7,1.9,11.6,5.4,26.0,18.6,5.0,0.4,37.5,38.5,21.8,1.5,1.1,0.5,1.4,0.209,0.331,0.301,0.632,0.283,660844
395,Dylan Moore,PHI,R,2B/OF,1B/2B/ SS/3B/OF,50,149,130,16.4,4.1,14.7,7.6,26.5,15.7,6.2,0.5,45.9,43.3,15.0,2.5,1.1,0.5,2.1,0.204,0.295,0.352,0.648,0.267,664238
396,Ryan Vilade,TB,R,OF,OF,51,149,133,15.0,2.7,13.2,2.3,29.9,20.5,6.2,0.6,45.3,38.6,12.6,1.6,1.1,0.5,0.7,0.224,0.296,0.339,0.635,0.292,668723
397,Jahmai Jones,DET,R,OF,OF,51,148,129,17.6,4.0,15.4,2.8,29.8,18.5,6.5,0.9,49.9,38.1,15.9,2.4,1.0,0.5,0.8,0.232,0.324,0.388,0.712,0.295,663330
398,Tyler Locklear,ARI,R,1B,1B,43,148,131,16.0,4.0,15.3,2.9,30.7,20.9,5.4,0.5,48.9,40.5,12.8,2.6,1.1,0.4,0.9,0.235,0.312,0.373,0.685,0.305,682988
399,Amed Rosario,NYY,R,3B,2B/3B,50,147,138,16.1,2.7,15.7,2.7,36.4,25.5,7.7,0.6,53.2,27.4,6.3,1.3,1.1,0.4,0.7,0.264,0.300,0.387,0.687,0.311,642708
400,Tyler Tolbert,KC,R,OF,SS/OF,51,147,135,14.3,1.7,12.5,11.3,30.2,21.6,6.3,0.5,42.7,36.6,8.7,2.0,1.1,0.5,2.3,0.224,0.279,0.317,0.596,0.292,686475
401,Andy Ibanez,ATH,R,2B,1B/2B/ 3B,50,146,133,16.2,2.9,15.3,2.1,32.1,21.1,7.7,0.4,49.4,29.6,10.1,1.6,1.0,0.4,0.6,0.242,0.300,0.371,0.671,0.288,628451
402,Joey Wiemer,WSH,R,OF,OF,51,146,129,14.6,3.7,13.4,2.7,26.1,16.8,5.3,0.3,43.1,43.2,12.8,1.7,1.1,0.5,0.8,0.202,0.279,0.334,0.613,0.269,686894
403,Isiah Kiner-Falefa,BOS,R,SS/3B,2B/SS/ 3B,50,145,134,15.0,1.5,12.9,4.1,34.3,26.8,5.4,0.6,45.4,24.1,6.9,1.7,1.1,0.6,1.0,0.256,0.297,0.339,0.636,0.300,643396
404,Michael Helman,TEX,R,OF,OF,51,145,133,15.7,3.6,14.8,3.6,28.7,18.4,6.3,0.4,46.8,33.5,9.4,1.7,1.0,0.6,0.9,0.216,0.274,0.352,0.627,0.260,680737
405,Daniel Schneemann,CLE,L,2B/3B/ OF,2B/SS/ 3B/OF,43,144,128,14.6,3.3,13.5,2.7,27.1,16.5,6.9,0.4,44.6,39.7,14.1,1.0,1.0,0.5,0.8,0.212,0.293,0.350,0.642,0.278,682177
406,Drew Millas,WSH,S,C,C,50,144,129,14.8,2.4,13.3,3.0,31.1,21.8,6.0,0.9,46.0,24.3,11.6,1.0,1.1,0.6,0.8,0.240,0.303,0.356,0.660,0.277,686452
407,Miguel Rojas,LAD,R,2B/SS/ 3B,2B/SS/ 3B,50,143,131,17.3,2.7,15.4,2.0,33.2,22.2,8.1,0.2,49.6,19.4,9.1,1.3,1.0,0.5,0.6,0.253,0.305,0.380,0.685,0.278,7802
408,Cesar Salazar,HOU,L,C,C,51,143,125,15.3,2.6,12.5,1.1,25.3,18.0,4.2,0.5,38.4,30.9,13.1,3.5,1.0,0.4,0.3,0.203,0.293,0.307,0.600,0.246,663967
409,Oswaldo Cabrera,NYY,S,3B,3B,50,143,129,17.1,3.9,15.8,1.9,30.5,19.7,6.6,0.3,49.3,29.1,11.3,1.2,1.1,0.6,0.5,0.237,0.301,0.384,0.684,0.275,665828
410,Nathan Church,STL,L,OF,OF,51,143,130,15.7,2.5,13.9,3.3,33.0,23.8,6.2,0.6,47.9,21.1,9.5,1.6,1.1,0.5,0.9,0.253,0.308,0.367,0.675,0.283,701675
411,Jerar Encarnacion,SF,R,OF,OF,49,142,128,15.2,4.6,14.9,1.4,28.3,19.3,4.1,0.3,46.9,45.9,11.9,1.1,1.0,0.4,0.4,0.222,0.291,0.367,0.658,0.304,666464
412,Jacob Melton,TB,L,OF,OF,50,142,129,14.7,3.7,14.0,6.8,28.1,18.1,5.9,0.5,46.0,38.3,10.9,1.0,1.1,0.5,1.7,0.218,0.281,0.357,0.638,0.278,689200
413,Myles Straw,TOR,R,OF,OF,51,141,128,14.4,1.1,11.5,4.4,28.9,21.6,5.6,0.6,38.9,28.8,10.9,0.8,1.0,0.5,1.0,0.226,0.288,0.305,0.594,0.281,664702
414,Nick Allen,HOU,R,SS,SS,51,141,127,15.0,1.5,12.0,3.5,29.3,21.8,5.7,0.3,40.0,27.8,11.3,1.0,1.1,0.6,1.1,0.231,0.296,0.316,0.611,0.282,669397
415,Leo Jimenez,TOR,R,SS,2B/SS,47,141,124,15.8,2.7,13.6,1.2,28.5,19.2,6.2,0.3,43.5,30.9,11.6,3.9,1.0,0.5,0.3,0.230,0.312,0.351,0.664,0.283,677870
416,Richie Palacios,TB,L,OF,OF,41,141,123,14.2,2.3,12.0,4.2,28.1,19.6,5.9,0.4,41.8,28.6,15.6,1.6,1.0,0.4,1.0,0.229,0.321,0.341,0.661,0.278,680700
417,Orlando Arcia,MIN,R,2B/SS/ 3B,2B/SS/ 3B,46,140,128,15.0,3.5,14.4,0.8,29.2,19.3,6.1,0.3,46.4,29.3,10.1,0.8,1.0,0.5,0.2,0.228,0.287,0.362,0.649,0.267,13185
418,Austin Slater,DET,R,OF,OF,49,140,123,15.0,3.3,13.4,1.6,27.8,19.1,4.9,0.5,43.7,40.8,13.9,1.4,1.0,0.5,0.4,0.225,0.308,0.354,0.662,0.305,596103
419,Ronny Mauricio,NYM,S,3B,2B/3B,42,139,127,16.3,4.4,16.0,3.2,30.6,19.6,6.2,0.3,50.7,33.1,9.5,1.2,1.0,0.5,0.9,0.241,0.297,0.399,0.696,0.289,677595
420,Robert Hassell III,WSH,L,OF,OF,44,139,126,14.0,2.6,12.8,3.1,30.0,21.3,5.9,0.2,44.2,32.6,10.1,1.0,1.0,0.5,0.8,0.239,0.296,0.351,0.647,0.299,690987
421,Gio Urshela,MIN,R,3B,1B/3B,45,138,128,14.4,2.1,13.4,0.8,32.7,23.3,6.9,0.4,46.9,25.4,8.4,0.8,1.0,0.5,0.2,0.256,0.304,0.367,0.671,0.302,10681
422,Chas McCormick,CHC,R,OF,OF,49,138,123,15.3,3.6,13.9,4.4,27.6,19.3,4.3,0.3,43.5,36.2,11.8,1.9,1.0,0.5,1.4,0.225,0.300,0.354,0.654,0.285,676801
423,Anthony Santander,TOR,S,OF,OF,32,137,122,16.0,5.7,18.3,0.4,27.1,15.2,6.0,0.3,50.6,32.0,12.7,1.3,1.0,0.2,0.2,0.223,0.299,0.416,0.715,0.252,623993
424,Mike Tauchman,NYM,L,OF,OF,41,131,113,15.4,2.8,12.8,0.9,25.9,17.3,5.6,0.3,40.3,30.8,15.7,1.3,0.9,0.6,0.3,0.230,0.328,0.357,0.686,0.289,15274
425,Zack Gelof,ATH,R,2B,2B,43,126,113,14.3,4.1,14.3,3.9,24.5,14.4,5.8,0.3,43.0,40.9,10.7,0.9,0.9,0.4,1.0,0.216,0.286,0.380,0.666,0.295,680869
426,Alan Roden,MIN,L,OF,OF,38,124,110,14.3,2.5,12.5,1.9,27.5,18.5,5.9,0.6,42.0,23.5,11.1,2.4,0.9,0.4,0.5,0.250,0.330,0.383,0.713,0.296,702176
427,Hyeseong Kim,LAD,L,2B,2B/SS/ OF,40,122,112,13.8,1.7,12.1,5.7,29.1,22.0,4.9,0.5,40.1,23.9,7.3,1.0,0.9,0.5,1.2,0.259,0.306,0.357,0.663,0.313,808975
428,Ildemaro Vargas,ARI,S,2B,1B/2B/ 3B,40,120,110,12.3,1.7,11.5,1.4,28.2,20.9,4.8,0.9,39.9,14.5,7.0,1.1,0.9,0.4,0.5,0.256,0.304,0.362,0.666,0.280,13324
429,Walker Jenkins,MIN,L,OF,OF,37,118,104,13.0,2.2,11.2,2.4,24.6,16.4,5.6,0.4,37.6,27.7,11.5,1.4,0.9,0.4,0.7,0.235,0.317,0.360,0.677,0.297,805805
430,Juan Brito,CLE,S,2B,2B,37,117,103,12.8,2.5,11.2,2.0,23.1,14.1,6.2,0.3,37.4,23.6,12.3,1.2,0.8,0.4,0.7,0.225,0.312,0.365,0.677,0.266,682877
431,Nelson Rada,LAA,L,OF,OF,37,116,102,11.1,0.8,8.5,5.4,23.3,18.1,3.9,0.5,30.6,28.1,11.1,1.4,0.8,0.4,1.6,0.229,0.310,0.301,0.612,0.306,703185
432,Orelvis Martinez,WSH,R,2B,2B,37,115,103,12.0,3.6,11.6,0.5,20.2,11.9,4.4,0.3,36.0,31.8,9.3,1.4,0.8,0.4,0.2,0.196,0.268,0.350,0.618,0.243,682619
433,Braden Montgomery,CHW,R,OF,OF,35,115,104,11.4,2.1,10.4,1.6,23.0,14.7,5.8,0.3,35.8,32.5,8.4,1.1,0.8,0.4,0.5,0.220,0.281,0.343,0.624,0.295,695731
434,Jonah Heim,ATL,S,C,C,34,113,103,12.4,3.1,12.0,0.7,23.3,16.0,4.0,0.2,37.1,22.4,8.3,0.6,0.8,0.4,0.2,0.227,0.285,0.360,0.645,0.258,16930
435,Johnathan Rodriguez,CLE,R,OF,OF,35,112,101,12.7,3.6,12.5,0.7,24.3,15.4,5.0,0.3,40.9,32.4,9.8,0.8,0.8,0.4,0.2,0.242,0.311,0.406,0.717,0.316,671286
436,Charlie Condon,COL,R,1B,1B,35,110,98,12.4,3.0,11.5,0.8,23.2,15.9,3.5,0.6,37.1,30.4,8.7,1.6,0.8,0.4,0.2,0.237,0.306,0.379,0.684,0.308,809707
437,Garrett Hampson,CIN,R,2B/OF,2B/SS/ OF,34,109,98,10.5,1.0,8.6,2.7,21.4,14.7,5.4,0.3,30.4,28.6,9.1,0.9,0.8,0.4,0.8,0.218,0.288,0.310,0.598,0.294,641658
438,Andrew Knizner,SEA,R,C,C,34,109,98,11.2,2.1,9.8,0.7,20.9,14.3,4.2,0.3,31.9,24.8,8.1,2.0,0.8,0.5,0.2,0.214,0.285,0.327,0.612,0.263,668800
439,Carlos Cortes,ATH,L,OF,OF,34,108,97,13.5,3.4,12.7,0.6,22.7,13.9,5.1,0.3,38.4,23.6,9.6,0.8,0.8,0.4,0.2,0.235,0.306,0.398,0.704,0.274,666126
440,Elias Diaz,KC,R,C,C,34,107,97,11.8,2.7,11.0,0.4,22.1,15.0,4.3,0.2,34.8,25.3,7.2,0.8,0.8,0.4,0.1,0.226,0.282,0.357,0.640,0.276,11680
441,Riley Adams,WSH,R,C,C,35,106,96,10.6,2.9,10.4,0.5,20.0,12.7,4.1,0.3,33.4,34.8,7.4,1.6,0.8,0.3,0.2,0.209,0.274,0.349,0.622,0.290,656180
442,Korey Lee,CHW,R,C,C,33,106,98,10.5,3.0,10.8,1.4,20.9,13.2,4.6,0.2,34.9,28.9,6.0,0.6,0.8,0.4,0.4,0.213,0.259,0.355,0.614,0.266,686676
443,Daniel Susac,SF,R,C,C,34,106,98,10.8,2.4,10.1,1.2,22.1,15.7,3.6,0.4,33.6,29.2,6.1,1.2,0.8,0.4,0.4,0.225,0.276,0.343,0.619,0.293,691740
444,Austin Hedges,CLE,R,C,C,34,103,93,10.1,2.4,9.1,1.4,17.9,12.0,3.3,0.2,28.7,28.1,7.9,1.0,0.8,0.4,0.4,0.191,0.259,0.308,0.567,0.243,12976
445,Adael Amador,COL,S,2B,2B,35,103,91,12.5,2.2,10.5,3.5,22.5,16.1,3.7,0.4,33.7,17.7,10.2,1.1,0.8,0.4,1.1,0.247,0.326,0.371,0.697,0.282,691182
446,Austin Wynns,ATH,R,C,C,32,102,93,11.6,2.7,10.9,0.8,21.0,13.6,4.6,0.2,34.0,28.8,6.9,1.1,0.7,0.4,0.2,0.226,0.284,0.365,0.649,0.295,642851
447,Andrew McCutchen,FA,R,DH,DH,26,97,84,11.4,2.6,9.5,0.6,19.1,12.8,3.6,0.1,30.8,23.4,11.2,0.8,0.7,0.3,0.2,0.227,0.321,0.366,0.686,0.281,9847
448,Alex Freeland,LAD,S,3B,2B/3B,31,96,82,11.1,2.2,9.7,2.0,18.0,11.2,4.4,0.2,29.4,24.6,10.8,1.0,0.7,0.4,0.6,0.218,0.311,0.356,0.667,0.280,690976
449,Tommy Pham,FA,R,OF,OF,26,95,85,10.9,2.3,9.4,1.5,20.4,14.0,3.9,0.3,31.7,21.9,8.6,0.6,0.6,0.3,0.4,0.241,0.312,0.373,0.685,0.296,2967
450,MJ Melendez,NYM,L,OF,OF,31,95,85,10.4,3.2,10.7,1.8,17.7,9.7,4.5,0.3,32.4,27.2,8.1,0.8,0.7,0.2,0.7,0.208,0.280,0.380,0.661,0.261,669004
451,Santiago Espinal,LAD,R,2B/3B/ OF,2B/SS/ 3B/OF,31,95,86,10.4,1.3,9.4,1.2,22.0,15.6,5.0,0.1,31.1,12.8,6.3,0.8,0.7,0.3,0.4,0.255,0.308,0.360,0.668,0.284,669289
452,Alex Verdugo,FA,L,OF,OF,26,94,85,10.5,1.9,9.3,0.6,21.3,14.8,4.5,0.2,31.8,14.8,7.3,0.7,0.6,0.3,0.2,0.250,0.311,0.374,0.684,0.281,657077
453,Kristian Campbell,BOS,R,2B,2B/OF,31,94,82,10.7,2.1,9.5,1.2,20.2,14.2,3.6,0.3,30.9,24.2,9.3,1.5,0.7,0.3,0.4,0.246,0.330,0.375,0.705,0.319,692225
454,Tanner Murray,CHW,R,SS,SS,29,92,85,8.7,1.6,8.3,0.7,18.7,12.1,4.8,0.2,28.7,22.3,4.4,0.8,0.7,0.3,0.2,0.219,0.261,0.337,0.597,0.275,695020
455,Zac Veen,COL,L,OF,OF,31,91,82,10.3,2.3,9.6,2.6,20.2,13.8,3.5,0.6,31.6,20.8,6.7,0.8,0.7,0.3,0.8,0.246,0.305,0.385,0.691,0.300,691728
456,Trey Sweeney,DET,L,SS,SS,31,91,82,9.3,1.9,8.2,1.6,17.6,12.7,2.5,0.5,26.9,24.5,7.6,0.7,0.7,0.4,0.4,0.215,0.285,0.327,0.612,0.279,700242
457,Starling Marte,FA,R,DH,OF,25,90,82,9.9,2.0,9.3,2.2,21.3,15.2,3.8,0.2,31.5,19.6,5.7,1.5,0.6,0.2,0.5,0.259,0.316,0.384,0.700,0.315,9241
458,Rowdy Tellez,FA,L,1B,1B,26,90,82,10.3,3.7,11.2,0.3,18.6,11.5,3.3,0.1,33.4,22.0,6.9,0.6,0.6,0.2,0.1,0.228,0.291,0.408,0.699,0.263,15679
459,Leody Taveras,BAL,S,OF,OF,31,90,82,10.6,2.3,9.8,3.5,19.6,13.1,3.9,0.4,31.2,19.0,6.5,0.3,0.7,0.4,0.9,0.240,0.294,0.381,0.675,0.283,665750
460,Tyler Fitzgerald,SF,R,2B,2B,31,90,82,9.2,2.2,8.7,2.4,18.0,12.3,3.2,0.3,28.5,26.0,5.7,1.0,0.7,0.4,0.6,0.220,0.276,0.348,0.624,0.292,666149
461,Jack Suwinski,LAD,L,OF,OF,27,90,78,11.0,3.7,11.0,1.9,16.1,8.9,3.3,0.2,31.1,28.4,10.0,1.0,0.6,0.2,0.5,0.206,0.300,0.397,0.697,0.265,669261
462,Jesse Winker,FA,L,OF,OF,25,89,75,10.5,2.2,9.3,1.5,17.9,11.9,3.2,0.6,28.9,19.7,12.0,1.4,0.6,0.2,0.5,0.239,0.352,0.386,0.738,0.293,13590
463,Christian Koss,SF,R,2B/SS/ 3B,2B/SS/ 3B,30,89,82,8.9,1.5,8.0,1.6,19.4,14.1,3.5,0.3,27.9,20.3,4.4,1.1,0.7,0.3,0.5,0.237,0.282,0.341,0.623,0.295,683766
464,Nacho Alvarez Jr.,ATL,R,3B,3B,30,89,79,9.5,1.2,7.8,1.1,18.6,13.8,3.4,0.2,25.9,18.9,7.7,1.5,0.7,0.4,0.3,0.236,0.313,0.330,0.644,0.295,805373
465,Alex Jackson,MIN,R,C,C,31,88,80,9.8,2.9,9.5,0.7,16.2,9.1,3.9,0.2,29.3,27.5,6.3,1.0,0.7,0.4,0.2,0.203,0.267,0.366,0.633,0.265,656577
466,Kyren Paris,LAA,R,OF,2B/OF,31,88,78,9.3,2.4,8.5,3.5,15.6,9.8,2.9,0.5,26.7,29.0,8.2,1.1,0.7,0.3,0.8,0.200,0.282,0.343,0.625,0.281,677347
467,Joseph Sullivan,HOU,L,OF,OF,27,88,75,9.4,2.2,8.1,2.8,14.7,9.9,2.3,0.3,24.1,28.4,10.4,1.6,0.6,0.3,0.8,0.197,0.305,0.323,0.627,0.280,813896
468,Sean Keys,TOR,L,3B,3B,27,88,77,8.5,1.9,7.5,0.7,13.8,9.0,2.8,0.1,22.4,24.7,8.7,1.1,0.6,0.3,0.2,0.179,0.270,0.292,0.562,0.235,815873
469,Chadwick Tromp,ATL,R,C,C,30,87,79,8.7,1.7,7.8,0.6,16.3,11.4,3.0,0.2,24.6,22.7,6.4,0.5,0.6,0.4,0.2,0.206,0.266,0.312,0.578,0.264,644433
470,Christian Encarnacion-Strand,CIN,R,1B,1B/3B,29,87,80,10.5,3.6,11.2,0.6,19.5,10.8,4.9,0.2,35.5,22.7,4.7,1.0,0.6,0.2,0.2,0.242,0.290,0.442,0.731,0.290,687952
471,Ryan Clifford,NYM,L,1B,1B,26,87,75,10.0,2.8,9.2,0.7,15.3,8.9,3.5,0.1,27.4,26.0,9.7,1.0,0.6,0.3,0.2,0.203,0.300,0.364,0.664,0.265,691775
472,Zach Daudet,HOU,R,1B,1B,27,87,79,7.3,1.4,6.7,1.5,14.0,10.4,2.0,0.2,20.5,23.5,5.8,0.8,0.6,0.3,0.4,0.178,0.239,0.259,0.498,0.231,836055
473,Jose Iglesias,FA,R,SS,SS,26,86,79,8.5,1.1,7.8,1.0,20.1,15.0,3.9,0.2,27.5,14.3,4.7,1.2,0.6,0.3,0.3,0.254,0.301,0.348,0.649,0.295,10231
474,Randal Grichuk,FA,R,OF,OF,26,86,79,10.0,3.0,10.4,0.4,19.4,12.0,4.1,0.3,33.1,18.0,5.3,0.9,0.6,0.2,0.1,0.245,0.297,0.418,0.715,0.279,10243
475,J.C. Escarra,NYY,L,C,C,26,86,76,9.8,1.9,8.7,0.7,17.5,11.3,4.1,0.3,27.7,16.6,7.8,0.9,0.6,0.3,0.2,0.231,0.307,0.366,0.673,0.269,641555
476,Luis Urias,FA,R,2B/3B,2B/3B,26,85,74,9.5,2.1,8.5,0.7,16.9,11.5,3.2,0.1,26.7,16.0,8.4,1.7,0.6,0.3,0.2,0.228,0.317,0.362,0.679,0.262,649966
477,Dylan Carlson,CHC,S,OF,OF,27,85,75,9.5,1.9,8.4,1.3,17.0,11.6,3.2,0.3,26.6,20.4,8.7,1.1,0.6,0.3,0.4,0.228,0.314,0.356,0.670,0.285,666185
478,Justin Turner,FA,R,3B,3B,26,84,75,9.4,1.8,8.3,0.5,18.1,12.6,3.5,0.1,27.2,16.7,7.4,1.1,0.6,0.2,0.2,0.242,0.317,0.364,0.680,0.286,5235
479,Raudi Rodriguez,LAA,R,OF,OF,27,84,77,7.2,1.5,6.7,1.5,14.7,10.7,2.2,0.3,22.0,24.9,5.2,0.8,0.6,0.3,0.4,0.190,0.246,0.284,0.530,0.257,804558
480,Wilmer Flores,FA,R,1B,1B,26,83,75,9.5,2.8,9.4,0.2,17.2,11.3,3.0,0.1,28.9,15.4,6.8,1.0,0.6,0.2,0.1,0.231,0.301,0.388,0.689,0.253,5827
481,Ryan Kreidler,MIN,R,SS,SS,27,83,73,8.2,1.4,6.8,2.5,13.9,9.1,3.1,0.3,21.8,26.7,8.3,1.0,0.6,0.3,0.7,0.191,0.280,0.297,0.577,0.275,668952
482,Jon Berti,FA,R,2B,2B,26,82,75,8.7,1.2,7.5,4.1,18.6,13.9,3.2,0.3,25.8,16.6,5.8,0.8,0.6,0.3,1.0,0.249,0.307,0.346,0.654,0.304,12037
483,Tom Murphy,FA,R,C,C,25,82,74,8.7,2.4,8.4,0.9,15.9,10.3,3.0,0.2,26.5,22.8,6.5,0.8,0.6,0.3,0.3,0.215,0.282,0.359,0.641,0.275,13499
484,Manuel Margot,FA,R,OF,OF,26,81,74,8.0,1.0,7.1,0.9,17.5,12.8,3.4,0.3,24.5,15.5,5.0,0.9,0.6,0.3,0.3,0.236,0.288,0.329,0.617,0.282,14712
485,Christian Vazquez,FA,R,C,C,25,79,73,8.2,1.5,7.4,0.8,16.2,11.7,2.8,0.1,23.9,16.1,4.9,0.7,0.6,0.3,0.2,0.224,0.276,0.329,0.605,0.264,9774
486,Tyler Heineman,TOR,S,C,C,26,79,70,8.6,1.2,7.0,1.0,15.4,10.8,3.2,0.3,22.8,17.6,6.9,1.4,0.6,0.3,0.3,0.220,0.299,0.325,0.624,0.275,13897
487,Ryan Waldschmidt,ARI,R,OF,OF,24,78,67,8.9,1.5,7.3,1.8,16.3,11.6,2.8,0.4,24.2,17.3,8.9,1.1,0.6,0.3,0.6,0.242,0.337,0.360,0.697,0.302,814439
488,DJ LeMahieu,FA,R,3B,3B,25,77,68,8.4,1.3,7.1,0.5,16.7,12.5,2.7,0.2,23.7,16.3,7.2,0.5,0.6,0.3,0.2,0.244,0.317,0.346,0.663,0.299,9874
489,Will Wagner,SD,L,1B/2B/ 3B,1B/3B,24,76,67,8.5,1.2,7.3,0.7,16.9,11.7,3.8,0.2,24.7,13.3,7.6,0.6,0.5,0.2,0.2,0.253,0.331,0.369,0.701,0.297,695238
490,Emmanuel Rodriguez,MIN,L,OF,OF,24,74,62,8.4,1.7,6.8,1.5,12.9,8.1,2.8,0.3,21.5,25.3,10.8,0.7,0.5,0.3,0.5,0.207,0.330,0.345,0.675,0.312,691181
491,Nick Yorke,PIT,R,2B,1B/2B,24,74,68,7.7,1.2,7.0,1.6,17.0,12.2,3.3,0.2,24.5,16.0,5.3,0.5,0.5,0.3,0.5,0.251,0.308,0.362,0.670,0.309,694377
492,Jose Miranda,SD,R,3B,1B/3B,24,73,67,8.0,1.8,7.8,0.4,15.9,10.7,3.2,0.2,25.1,13.9,4.2,0.8,0.5,0.2,0.1,0.236,0.286,0.372,0.659,0.271,669304
493,Jared Young,NYM,L,1B,1B,23,73,65,8.6,2.3,8.3,0.9,14.8,8.9,3.3,0.3,25.5,18.1,7.0,1.1,0.5,0.2,0.3,0.227,0.311,0.393,0.705,0.277,676724
494,Kyle Farmer,ATL,R,SS,SS,22,72,65,7.4,1.6,7.0,0.6,14.6,10.3,2.6,0.2,22.3,17.0,4.4,1.1,0.5,0.2,0.3,0.223,0.281,0.340,0.621,0.275,14813
495,Michael Conforto,CHC,L,OF,OF,22,72,63,7.9,2.1,7.7,0.3,14.2,9.4,2.5,0.2,23.3,18.1,7.4,0.9,0.5,0.2,0.1,0.224,0.311,0.368,0.679,0.276,16376
496,Vimael Machin,COL,L,2B,2B,23,72,65,7.8,1.4,7.0,1.3,15.9,11.5,2.7,0.2,23.4,14.2,5.6,0.5,0.5,0.3,0.4,0.246,0.307,0.361,0.668,0.292,605353
497,Jacob Stallings,BAL,R,C,C,23,71,63,6.9,1.2,6.0,0.4,12.7,9.1,2.3,0.2,18.8,19.6,5.5,1.1,0.5,0.2,0.1,0.200,0.272,0.297,0.569,0.267,13723
498,Paul DeJong,NYY,R,2B/SS/ 3B,2B/SS/ 3B,22,71,66,7.4,2.5,8.0,0.7,13.2,8.0,2.7,0.1,23.5,22.8,4.2,0.9,0.5,0.2,0.2,0.201,0.256,0.359,0.615,0.263,657557
499,Josh Rojas,KC,L,2B/3B,2B/3B,22,71,64,7.6,1.1,6.5,1.6,15.2,10.7,3.2,0.2,22.1,15.2,6.4,0.4,0.5,0.3,0.4,0.239,0.309,0.347,0.656,0.294,668942
500,Denzer Guzman,LAA,R,SS,SS,23,71,64,6.8,1.5,6.3,0.9,13.3,8.9,2.8,0.2,20.9,21.1,5.2,0.5,0.5,0.3,0.3,0.209,0.271,0.328,0.599,0.283,694203
501,Ryan Bliss,SEA,R,2B,2B,22,70,62,7.4,1.5,6.6,3.9,13.4,8.5,3.2,0.3,21.7,18.4,6.0,0.7,0.5,0.3,1.3,0.217,0.290,0.350,0.639,0.278,669208
502,Luke Maile,KC,R,C,C,22,69,61,7.4,1.3,6.3,0.8,13.4,9.3,2.7,0.2,20.4,19.5,6.4,0.9,0.5,0.3,0.2,0.219,0.299,0.332,0.631,0.296,13355
503,Mark Canha,TEX,R,OF,OF,22,69,61,7.5,1.4,6.6,0.7,14.2,10.0,2.7,0.1,21.2,14.9,6.1,1.5,0.5,0.2,0.2,0.232,0.314,0.347,0.661,0.283,592192
504,Mason McCoy,SD,R,SS,SS,23,69,63,6.5,1.0,5.7,1.9,12.4,8.2,2.9,0.2,18.8,21.2,5.3,0.5,0.5,0.2,0.5,0.198,0.263,0.300,0.563,0.278,669200
505,Nick Madrigal,LAA,R,2B,2B,22,68,62,6.8,0.5,5.8,1.0,16.0,11.9,3.2,0.3,21.4,8.3,3.7,1.3,0.5,0.2,0.3,0.259,0.311,0.346,0.657,0.289,663611
506,Gustavo Campero,LAA,S,OF,OF,22,68,60,7.3,1.6,6.8,2.3,14.2,9.4,2.7,0.4,22.6,14.1,4.9,1.5,0.5,0.2,0.6,0.235,0.304,0.374,0.678,0.278,672569
507,Jonathon Long,CHC,R,1B,1B,21,68,60,7.9,1.8,7.1,0.3,14.5,10.1,2.4,0.2,22.6,15.7,6.9,0.8,0.5,0.2,0.1,0.241,0.324,0.377,0.701,0.295,675085
508,Aidan Miller,PHI,R,SS,SS,21,66,58,7.1,1.2,6.0,3.2,12.6,8.2,3.0,0.2,19.6,17.4,6.9,0.8,0.5,0.2,0.9,0.217,0.306,0.338,0.644,0.286,805795
509,Ty France,SD,R,1B,1B,19,63,57,6.7,1.4,6.7,0.2,14.1,9.7,2.9,0.1,21.4,12.1,3.8,1.9,0.5,0.1,0.1,0.248,0.313,0.377,0.690,0.290,664034
