#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
298,Austin Martin,MIN,R,OF,OF,79,261,227,29.9,2.6,22.4,9.0,57.3,41.0,12.9,0.8,79.8,46.0,29.5,3.1,1.9,1.0,2.6,0.252,0.344,0.352,0.696,0.303,668885
299,Enrique Hernandez,LAD,R,1B/3B/ OF,1B/2B/ SS/3B/OF,76,254,232,28.6,7.2,29.0,1.1,53.0,32.3,13.0,0.5,88.5,57.3,17.3,1.3,1.9,0.9,0.4,0.228,0.283,0.381,0.664,0.270,10472
300,Kyle Higashioka,TEX,R,C,C,78,249,230,28.5,9.3,29.6,2.3,51.1,31.3,9.8,0.7,90.3,61.1,14.7,1.5,1.9,0.9,0.6,0.222,0.271,0.393,0.664,0.259,5517
301,Paul Goldschmidt,NYY,R,1B,1B,71,248,223,29.1,7.0,28.2,2.5,55.9,35.9,12.6,0.4,90.4,56.1,21.4,1.8,1.7,0.6,0.6,0.251,0.319,0.405,0.724,0.303,9218
302,Miguel Amaya,CHC,R,C,C,77,246,222,28.3,6.6,26.2,1.5,52.1,34.4,10.5,0.7,83.7,50.1,17.8,4.0,1.9,1.1,0.4,0.235,0.300,0.377,0.677,0.273,665804
303,Jasson Dominguez,NYY,S,OF,OF,71,244,217,28.9,7.3,27.5,10.5,52.9,34.1,10.8,0.6,86.9,61.6,23.5,1.6,1.8,0.7,2.8,0.244,0.319,0.401,0.720,0.305,691176
304,Troy Johnston,COL,L,OF,1B/OF,72,243,220,25.9,6.2,26.9,7.5,55.3,38.3,9.2,1.7,86.4,51.9,16.4,3.9,1.9,0.5,2.2,0.252,0.312,0.393,0.705,0.300,687859
305,Tyler Austin,CHC,R,1B,1B,72,241,218,27.9,8.7,29.3,1.1,53.1,32.8,11.0,0.5,91.3,53.9,19.6,1.4,1.7,0.8,0.3,0.244,0.307,0.419,0.726,0.283,592122
306,Romy Gonzalez,BOS,R,1B/2B,1B/2B,71,241,223,28.0,6.9,28.0,6.3,59.5,40.2,10.9,1.6,94.3,59.3,13.1,2.2,1.7,0.7,2.0,0.267,0.311,0.423,0.734,0.332,663853
307,Javier Baez,DET,R,SS/3B/ OF,2B/SS/ 3B/OF,77,239,224,25.1,6.0,24.8,3.4,52.3,35.6,9.6,1.1,82.1,55.3,9.5,2.9,1.8,1.0,0.8,0.233,0.271,0.366,0.637,0.281,12979
308,Andres Chaparro,WSH,R,DH,DH,70,237,212,25.5,8.0,27.2,1.0,48.8,30.2,10.2,0.4,83.7,57.1,20.0,2.4,1.7,0.3,0.3,0.230,0.300,0.395,0.695,0.275,665953
309,Bryce Teodosio,LAA,R,OF,OF,79,237,217,22.7,3.3,19.9,9.9,46.2,32.1,8.6,2.2,69.2,72.0,13.4,3.2,1.8,1.0,2.3,0.213,0.265,0.319,0.584,0.298,669326
310,Rhys Hoskins,CLE,R,1B,1B,69,236,205,26.4,8.9,27.4,1.5,45.2,26.0,9.8,0.5,82.6,64.8,25.1,3.1,1.8,0.4,0.5,0.220,0.312,0.402,0.714,0.272,656555
311,Ezequiel Duran,TEX,R,1B/SS,1B/2B/ SS/3B,73,236,219,25.2,5.1,24.2,6.7,53.0,35.3,12.1,0.6,81.4,55.6,11.9,2.6,1.7,0.9,2.1,0.242,0.286,0.372,0.658,0.300,677649
312,Nick Fortes,TB,R,C,C,78,235,214,25.4,5.8,23.4,2.1,49.0,33.5,9.1,0.7,76.7,42.9,13.7,3.8,1.8,1.0,0.6,0.229,0.283,0.358,0.642,0.258,663743
313,Justyn-Henry Malloy,TB,R,OF,OF,73,235,199,25.3,5.5,21.7,1.9,43.9,28.8,9.3,0.3,70.3,68.9,30.9,3.2,1.6,0.7,0.6,0.221,0.332,0.354,0.686,0.305,669234
314,Liam Hicks,MIA,L,C/1B,C/1B,73,235,202,24.0,3.5,20.1,1.3,49.0,37.0,7.8,0.7,68.7,38.0,26.4,4.5,1.7,0.7,0.4,0.242,0.340,0.340,0.681,0.280,689414
315,Sean Murphy,ATL,R,C,C,67,234,203,26.9,8.5,27.0,0.6,43.6,26.4,8.3,0.5,78.3,63.0,23.3,4.5,1.7,0.6,0.2,0.215,0.306,0.386,0.692,0.263,669221
316,Matt Vierling,DET,R,OF,OF,70,232,209,24.4,4.9,22.2,2.7,49.7,34.2,9.6,1.0,75.8,54.4,18.6,2.4,1.6,0.7,0.9,0.237,0.304,0.362,0.666,0.295,663837
317,Masataka Yoshida,BOS,L,DH,OF,68,231,209,26.9,6.1,26.7,2.0,57.7,39.8,11.3,0.5,88.2,32.1,15.4,3.7,1.6,0.5,0.6,0.275,0.333,0.422,0.755,0.299,807799
318,Adam Frazier,LAA,L,2B/OF,2B/3B/ OF,71,230,209,21.9,3.5,19.8,4.0,48.4,35.2,9.3,0.4,69.0,44.2,15.0,3.3,1.6,0.7,1.4,0.231,0.290,0.330,0.620,0.275,15223
319,Ramon Urias,STL,R,2B/3B,2B/3B,71,230,208,24.8,5.6,23.9,1.7,51.1,34.4,10.6,0.5,79.6,49.8,16.2,2.5,1.7,0.8,0.5,0.245,0.304,0.382,0.686,0.294,602104
320,Jonny DeLuca,TB,R,OF,OF,69,230,208,22.9,6.0,23.9,7.2,46.5,29.8,8.3,2.4,77.5,50.0,16.6,2.7,1.7,0.7,2.0,0.223,0.286,0.372,0.659,0.263,676356
321,Henry Davis,PIT,R,C,C,71,229,204,24.5,6.1,22.9,3.2,44.4,29.1,8.7,0.4,72.2,59.5,19.2,3.7,1.7,0.9,1.0,0.218,0.294,0.354,0.648,0.274,680779
322,Blake Perkins,MIL,S,OF,OF,70,226,198,22.9,4.2,19.8,7.5,43.6,30.6,7.6,1.3,66.2,60.6,23.6,1.7,1.6,0.8,2.1,0.220,0.306,0.334,0.640,0.292,663368
323,David Hamilton,MIL,L,2B,2B/SS,71,225,201,23.3,5.6,21.4,18.8,43.2,29.3,7.1,1.2,69.5,56.7,19.6,1.6,1.7,0.9,4.5,0.215,0.287,0.345,0.632,0.267,666152
324,Casey Schmitt,SF,R,2B/3B,1B/2B/ 3B,70,225,205,23.0,6.2,23.3,1.4,47.7,32.9,8.0,0.5,75.4,51.6,15.4,2.4,1.6,0.7,0.4,0.233,0.292,0.369,0.661,0.280,669477
325,Connor Wong,BOS,R,C,C,71,224,203,24.1,4.7,22.0,3.6,48.1,33.5,9.3,0.6,72.7,55.9,15.2,2.8,1.7,0.7,1.2,0.236,0.295,0.358,0.653,0.301,657136
326,Jake Mangum,PIT,S,OF,OF,70,224,209,23.0,2.2,20.7,8.6,57.2,42.2,12.0,0.8,77.5,38.4,11.0,2.1,1.6,0.6,2.6,0.273,0.313,0.371,0.684,0.323,663968
327,Johan Rojas,PHI,R,OF,OF,73,224,206,23.9,3.1,21.1,11.6,50.2,35.8,9.6,1.6,72.5,46.8,12.8,2.1,1.7,0.9,2.5,0.244,0.291,0.352,0.643,0.298,679032
328,Colt Emerson,SEA,L,SS,SS,61,223,197,23.8,3.9,20.5,3.1,45.0,29.0,11.4,0.7,69.4,49.3,20.6,3.2,1.6,0.8,0.9,0.229,0.309,0.353,0.662,0.283,806068
329,Ryan Mountcastle,BAL,R,1B,1B,69,222,204,25.2,7.2,26.2,1.3,50.3,33.7,9.1,0.4,81.8,55.8,13.8,1.7,1.6,0.4,0.4,0.247,0.296,0.401,0.697,0.303,663624
330,Jose Caballero,NYY,R,2B/SS/ 3B/OF,2B/SS/ 3B/OF,72,221,193,24.8,3.7,20.2,20.8,42.1,27.9,10.0,0.5,64.1,57.3,22.0,3.9,1.7,0.9,5.8,0.219,0.308,0.333,0.640,0.288,676609
331,Oswald Peraza,LAA,R,3B,1B/2B/ SS/3B,71,220,198,23.6,6.1,21.9,6.7,43.4,29.4,7.5,0.4,70.0,58.0,16.4,3.0,1.6,0.8,1.7,0.219,0.285,0.353,0.638,0.275,672724
332,Kevin McGonigle,DET,L,SS,SS,61,220,193,25.9,5.2,22.6,4.2,48.2,33.8,8.1,1.1,74.2,33.0,24.1,1.8,1.6,0.8,1.3,0.250,0.336,0.385,0.721,0.275,805808
333,Ryan Ritter,COL,R,2B/SS,2B/SS,71,218,195,25.5,5.1,22.5,3.6,47.9,33.1,8.0,1.7,74.5,55.7,16.3,3.4,1.6,0.9,0.9,0.245,0.311,0.381,0.692,0.314,690022
334,Triston Casas,BOS,L,1B,1B,57,213,183,25.7,8.5,26.7,0.9,43.0,25.6,8.4,0.5,78.0,54.6,26.1,1.7,1.5,0.4,0.3,0.236,0.333,0.427,0.760,0.285,671213
